Ship Name,Occupancy,Date,Arrival Datetime,Departure Datetime
Ruby Princess,"3,672",2023-01-11,2023-01-11 08:00:00,2023-01-11 18:00:00
AIDAdiva,"2,500",2023-01-12,2023-01-12 10:30:00,2023-01-12 19:00:00
Mein Schiff 1,"2,894",2023-01-13,2023-01-13 08:00:00,2023-01-13 19:00:00
Sky Princess,"4,610",2023-01-18,2023-01-18 07:00:00,2023-01-18 18:00:00
Carnival Pride,"2,549",2023-01-18,2023-01-18 08:00:00,2023-01-18 17:00:00
Carnival Vista,"4,716",2023-01-18,2023-01-18 08:00:00,2023-01-18 17:00:00
Carnival Glory,"3,581",2023-01-19,2023-01-19 08:00:00,2023-01-19 17:00:00
Marella Discovery 2,"2,198",2023-01-21,2023-01-21 08:00:00,2023-01-21 18:00:00
Viking Star,930,2023-01-22,2023-01-22 00:00:00,2023-01-22 00:00:00
MSC Divina,"4,202",2023-01-23,2023-01-23 09:00:00,2023-01-23 18:00:00
Celebrity Apex,"3,373",2023-01-24,2023-01-24 07:00:00,2023-01-24 16:00:00
Carnival Spirit,"2,549",2023-01-25,2023-01-25 08:00:00,2023-01-25 17:00:00
Ruby Princess,"3,672",2023-01-25,2023-01-25 08:00:00,2023-01-25 18:00:00
MSC Meraviglia,"5,386",2023-01-26,2023-01-26 10:00:00,2023-01-26 17:00:00
AIDAdiva,"2,500",2023-01-26,2023-01-26 10:30:00,2023-01-26 19:00:00
Mein Schiff 1,"2,894",2023-01-27,2023-01-27 08:00:00,2023-01-27 19:00:00
Sky Princess,"4,610",2023-02-01,2023-02-01 07:00:00,2023-02-01 18:00:00
Carnival Vista,"4,716",2023-02-01,2023-02-01 08:00:00,2023-02-01 17:00:00
Carnival Pride,"2,549",2023-02-01,2023-02-01 08:00:00,2023-02-01 17:00:00
Carnival Glory,"3,581",2023-02-02,2023-02-02 08:00:00,2023-02-02 17:00:00
Viking Star,930,2023-02-05,2023-02-05 00:00:00,2023-02-05 00:00:00
Celebrity Apex,"3,373",2023-02-07,2023-02-07 07:00:00,2023-02-07 16:00:00
Serenade Of The Seas,"2,580",2023-02-08,2023-02-08 08:00:00,2023-02-08 17:00:00
Carnival Dream,"4,533",2023-02-08,2023-02-08 08:00:00,2023-02-08 17:00:00
MSC Meraviglia,"5,386",2023-02-09,2023-02-09 10:00:00,2023-02-09 17:00:00
AIDAdiva,"2,500",2023-02-09,2023-02-09 10:30:00,2023-02-09 19:00:00
Mein Schiff 1,"2,894",2023-02-10,2023-02-10 08:00:00,2023-02-10 19:00:00
Sky Princess,"4,610",2023-02-15,2023-02-15 07:00:00,2023-02-15 18:00:00
Carnival Vista,"4,716",2023-02-15,2023-02-15 08:00:00,2023-02-15 17:00:00
Celebrity Reflection,"3,655",2023-02-15,2023-02-15 08:00:00,2023-02-15 17:00:00
Radiance Of The Seas,"2,546",2023-02-15,2023-02-15 08:00:00,2023-02-15 17:00:00
Viking Star,930,2023-02-17,2023-02-17 00:00:00,2023-02-17 00:00:00
Marella Discovery 2,"2,198",2023-02-18,2023-02-18 08:00:00,2023-02-18 18:00:00
MSC Divina,"4,202",2023-02-20,2023-02-20 08:00:00,2023-02-20 18:00:00
Celebrity Apex,"3,373",2023-02-21,2023-02-21 07:00:00,2023-02-21 16:00:00
Carnival Spirit,"2,549",2023-02-22,2023-02-22 08:00:00,2023-02-22 17:00:00
Carnival Dream,"4,533",2023-02-22,2023-02-22 08:00:00,2023-02-22 17:00:00
AIDAdiva,"2,500",2023-02-23,2023-02-23 10:30:00,2023-02-23 19:00:00
Azamara Onward,781,2023-02-24,2023-02-24 08:00:00,2023-02-24 18:00:00
Mein Schiff 1,"2,894",2023-02-24,2023-02-24 08:00:00,2023-02-24 19:00:00
Viking Star,930,2023-02-25,2023-02-25 00:00:00,2023-02-25 00:00:00
Oceania Riviera,"1,447",2023-02-26,2023-02-26 08:00:00,2023-02-26 18:00:00
Sky Princess,"4,610",2023-03-01,2023-03-01 07:00:00,2023-03-01 18:00:00
Carnival Pride,"2,549",2023-03-01,2023-03-01 08:00:00,2023-03-01 17:00:00
Carnival Vista,"4,716",2023-03-01,2023-03-01 08:00:00,2023-03-01 17:00:00
Carnival Glory,"3,581",2023-03-02,2023-03-02 08:00:00,2023-03-02 17:00:00
Celebrity Apex,"3,373",2023-03-07,2023-03-07 07:00:00,2023-03-07 16:00:00
Serenade Of The Seas,"2,580",2023-03-08,2023-03-08 08:00:00,2023-03-08 17:00:00
AIDAdiva,"2,500",2023-03-09,2023-03-09 10:30:00,2023-03-09 19:00:00
Mein Schiff 1,"2,894",2023-03-10,2023-03-10 08:00:00,2023-03-10 19:00:00
Viking Star,930,2023-03-11,2023-03-11 00:00:00,2023-03-11 00:00:00
Sky Princess,"4,610",2023-03-15,2023-03-15 07:00:00,2023-03-15 18:00:00
Carnival Vista,"4,716",2023-03-15,2023-03-15 08:00:00,2023-03-15 17:00:00
Carnival Glory,"3,581",2023-03-16,2023-03-16 08:00:00,2023-03-16 17:00:00
Carnival Pride,"2,549",2023-03-16,2023-03-16 08:00:00,2023-03-16 17:00:00
Ventura,"3,727",2023-03-18,2023-03-18 00:00:00,2023-03-18 00:00:00
Marella Discovery 2,"2,198",2023-03-18,2023-03-18 08:00:00,2023-03-18 18:00:00
MSC Divina,"4,202",2023-03-19,2023-03-19 11:00:00,2023-03-19 19:00:00
Celebrity Apex,"3,373",2023-03-21,2023-03-21 07:00:00,2023-03-21 16:00:00
Carnival Spirit,"2,549",2023-03-22,2023-03-22 08:00:00,2023-03-22 17:00:00
Serenade Of The Seas,"2,580",2023-03-22,2023-03-22 08:00:00,2023-03-22 17:00:00
Carnival Dream,"4,533",2023-03-22,2023-03-22 08:00:00,2023-03-22 17:00:00
Carnival Pride,"2,549",2023-03-23,2023-03-23 08:00:00,2023-03-23 17:00:00
MSC Meraviglia,"5,386",2023-03-23,2023-03-23 10:00:00,2023-03-23 17:00:00
Amera,,2023-03-24,2023-03-24 07:00:00,2023-03-24 15:00:00
Mein Schiff 1,"2,894",2023-03-24,2023-03-24 08:00:00,2023-03-24 19:00:00
Celebrity Summit,"2,590",2023-03-25,2023-03-25 09:00:00,2023-03-25 18:00:00
Star Legend,312,2023-03-25,2023-03-25 09:00:00,2023-03-25 16:00:00
Carnival Pride,"2,549",2023-03-29,2023-03-29 08:00:00,2023-03-29 17:00:00
Carnival Vista,"4,716",2023-03-29,2023-03-29 08:00:00,2023-03-29 17:00:00
Carnival Glory,"3,581",2023-03-30,2023-03-30 08:00:00,2023-03-30 17:00:00
Oceania Marina,"1,447",2023-04-02,2023-04-02 08:00:00,2023-04-02 18:00:00
Celebrity Apex,"3,373",2023-04-04,2023-04-04 07:00:00,2023-04-04 16:00:00
Star Legend,312,2023-04-04,2023-04-04 08:00:00,2023-04-04 17:00:00
Caribbean Princess,"3,766",2023-04-05,2023-04-05 07:00:00,2023-04-05 17:00:00
Serenade Of The Seas,"2,580",2023-04-05,2023-04-05 08:00:00,2023-04-05 17:00:00
MSC Meraviglia,"5,386",2023-04-06,2023-04-06 10:00:00,2023-04-06 19:00:00
Carnival Vista,"4,716",2023-04-12,2023-04-12 08:00:00,2023-04-12 17:00:00
Radiance Of The Seas,"2,546",2023-04-12,2023-04-12 08:00:00,2023-04-12 17:00:00
Carnival Glory,"3,581",2023-04-13,2023-04-13 08:00:00,2023-04-13 17:00:00
Celebrity Apex,"3,373",2023-04-18,2023-04-18 07:00:00,2023-04-18 16:00:00
Serenade Of The Seas,"2,580",2023-04-18,2023-04-18 08:00:00,2023-04-18 18:00:00
Caribbean Princess,"3,766",2023-04-19,2023-04-19 07:00:00,2023-04-19 17:00:00
Carnival Dream,"4,533",2023-04-19,2023-04-19 08:00:00,2023-04-19 17:00:00
Carnival Vista,"4,716",2023-04-26,2023-04-26 08:00:00,2023-04-26 17:00:00
Caribbean Princess,"3,766",2023-05-03,2023-05-03 07:00:00,2023-05-03 17:00:00
Carnival Magic,"4,428",2023-05-09,2023-05-09 08:00:00,2023-05-09 17:00:00
Carnival Vista,"4,716",2023-05-10,2023-05-10 08:00:00,2023-05-10 17:00:00
Carnival Glory,"3,581",2023-05-11,2023-05-11 08:00:00,2023-05-11 17:00:00
MSC Divina,"4,202",2023-05-12,2023-05-12 08:00:00,2023-05-12 16:00:00
Voyager Of The Seas,"3,938",2023-05-16,2023-05-16 07:00:00,2023-05-16 17:00:00
Caribbean Princess,"3,766",2023-05-17,2023-05-17 07:00:00,2023-05-17 17:00:00
Carnival Dream,"4,533",2023-05-17,2023-05-17 08:00:00,2023-05-17 17:00:00
Carnival Vista,"4,716",2023-05-24,2023-05-24 08:00:00,2023-05-24 17:00:00
Carnival Glory,"3,581",2023-05-25,2023-05-25 08:00:00,2023-05-25 17:00:00
Voyager Of The Seas,"3,938",2023-05-30,2023-05-30 07:00:00,2023-05-30 17:00:00
Caribbean Princess,"3,766",2023-05-31,2023-05-31 07:00:00,2023-05-31 17:00:00
Carnival Dream,"4,533",2023-05-31,2023-05-31 08:00:00,2023-05-31 17:00:00
Grandeur Of The Seas,"2,393",2023-06-07,2023-06-07 08:00:00,2023-06-07 18:00:00
Carnival Vista,"4,716",2023-06-07,2023-06-07 08:00:00,2023-06-07 17:00:00
Carnival Glory,"3,581",2023-06-08,2023-06-08 08:00:00,2023-06-08 17:00:00
Voyager Of The Seas,"3,938",2023-06-13,2023-06-13 07:00:00,2023-06-13 17:00:00
Caribbean Princess,"3,766",2023-06-14,2023-06-14 07:00:00,2023-06-14 17:00:00
Grandeur Of The Seas,"2,393",2023-06-14,2023-06-14 08:00:00,2023-06-14 18:00:00
Carnival Dream,"4,533",2023-06-14,2023-06-14 08:00:00,2023-06-14 17:00:00
Carnival Paradise,"2,668",2023-06-15,2023-06-15 08:00:00,2023-06-15 17:00:00
Grandeur Of The Seas,"2,393",2023-06-21,2023-06-21 08:00:00,2023-06-21 18:00:00
Carnival Vista,"4,716",2023-06-21,2023-06-21 08:00:00,2023-06-21 17:00:00
Carnival Glory,"3,581",2023-06-22,2023-06-22 08:00:00,2023-06-22 17:00:00
Voyager Of The Seas,"3,938",2023-06-27,2023-06-27 07:00:00,2023-06-27 17:00:00
Caribbean Princess,"3,766",2023-06-28,2023-06-28 07:00:00,2023-06-28 17:00:00
Grandeur Of The Seas,"2,393",2023-06-28,2023-06-28 08:00:00,2023-06-28 18:00:00
Carnival Dream,"4,533",2023-06-28,2023-06-28 08:00:00,2023-06-28 17:00:00
Carnival Vista,"4,716",2023-07-05,2023-07-05 08:00:00,2023-07-05 17:00:00
Grandeur Of The Seas,"2,393",2023-07-05,2023-07-05 08:00:00,2023-07-05 18:00:00
Voyager Of The Seas,"3,938",2023-07-11,2023-07-11 07:00:00,2023-07-11 17:00:00
Caribbean Princess,"3,766",2023-07-12,2023-07-12 07:00:00,2023-07-12 17:00:00
Carnival Dream,"4,533",2023-07-12,2023-07-12 08:00:00,2023-07-12 17:00:00
Grandeur Of The Seas,"2,393",2023-07-12,2023-07-12 08:00:00,2023-07-12 18:00:00
Carnival Vista,"4,716",2023-07-19,2023-07-19 08:00:00,2023-07-19 17:00:00
Grandeur Of The Seas,"2,393",2023-07-19,2023-07-19 08:00:00,2023-07-19 18:00:00
Carnival Glory,"3,581",2023-07-20,2023-07-20 08:00:00,2023-07-20 17:00:00
Voyager Of The Seas,"3,938",2023-07-25,2023-07-25 07:00:00,2023-07-25 17:00:00
Grandeur Of The Seas,"2,393",2023-07-26,2023-07-26 08:00:00,2023-07-26 18:00:00
Carnival Dream,"4,533",2023-07-26,2023-07-26 08:00:00,2023-07-26 17:00:00
Carnival Vista,"4,716",2023-08-02,2023-08-02 08:00:00,2023-08-02 17:00:00
Grandeur Of The Seas,"2,393",2023-08-02,2023-08-02 08:00:00,2023-08-02 18:00:00
Carnival Glory,"3,581",2023-08-03,2023-08-03 08:00:00,2023-08-03 17:00:00
Voyager Of The Seas,"3,938",2023-08-08,2023-08-08 07:00:00,2023-08-08 17:00:00
Carnival Dream,"4,533",2023-08-09,2023-08-09 08:00:00,2023-08-09 17:00:00
Grandeur Of The Seas,"2,393",2023-08-09,2023-08-09 08:00:00,2023-08-09 18:00:00
Carnival Paradise,"2,668",2023-08-10,2023-08-10 08:00:00,2023-08-10 17:00:00
Carnival Vista,"4,716",2023-08-16,2023-08-16 08:00:00,2023-08-16 17:00:00
Grandeur Of The Seas,"2,393",2023-08-16,2023-08-16 08:00:00,2023-08-16 18:00:00
Carnival Glory,"3,581",2023-08-17,2023-08-17 08:00:00,2023-08-17 17:00:00
Voyager Of The Seas,"3,938",2023-08-22,2023-08-22 07:00:00,2023-08-22 17:00:00
Grandeur Of The Seas,"2,393",2023-08-23,2023-08-23 08:00:00,2023-08-23 18:00:00
Carnival Dream,"4,533",2023-08-23,2023-08-23 08:00:00,2023-08-23 17:00:00
Grandeur Of The Seas,"2,393",2023-08-30,2023-08-30 08:00:00,2023-08-30 18:00:00
Carnival Vista,"4,716",2023-08-30,2023-08-30 08:00:00,2023-08-30 17:00:00
Carnival Glory,"3,581",2023-08-31,2023-08-31 08:00:00,2023-08-31 17:00:00
Voyager Of The Seas,"3,938",2023-09-05,2023-09-05 07:00:00,2023-09-05 17:00:00
Carnival Dream,"4,533",2023-09-06,2023-09-06 08:00:00,2023-09-06 17:00:00
Carnival Vista,"4,716",2023-09-13,2023-09-13 08:00:00,2023-09-13 17:00:00
Carnival Glory,"3,581",2023-09-13,2023-09-13 08:00:00,2023-09-13 17:00:00
Voyager Of The Seas,"3,938",2023-09-19,2023-09-19 07:00:00,2023-09-19 17:00:00
Carnival Dream,"4,533",2023-09-20,2023-09-20 08:00:00,2023-09-20 17:00:00
Carnival Vista,"4,716",2023-09-27,2023-09-27 08:00:00,2023-09-27 17:00:00
Carnival Glory,"3,581",2023-09-28,2023-09-28 08:00:00,2023-09-28 17:00:00
Voyager Of The Seas,"3,938",2023-10-04,2023-10-04 08:00:00,2023-10-04 17:00:00
Carnival Paradise,"2,668",2023-10-05,2023-10-05 08:00:00,2023-10-05 17:00:00
Carnival Vista,"4,716",2023-10-11,2023-10-11 08:00:00,2023-10-11 17:00:00
Carnival Glory,"3,581",2023-10-12,2023-10-12 08:00:00,2023-10-12 17:00:00
Voyager Of The Seas,"3,938",2023-10-18,2023-10-18 08:00:00,2023-10-18 17:00:00
Carnival Dream,"4,533",2023-10-18,2023-10-18 08:00:00,2023-10-18 17:00:00
Carnival Spirit,"2,549",2023-10-18,2023-10-18 08:00:00,2023-10-18 17:00:00
Carnival Vista,"4,716",2023-10-25,2023-10-25 08:00:00,2023-10-25 17:00:00
Carnival Glory,"3,581",2023-10-26,2023-10-26 08:00:00,2023-10-26 17:00:00
Grandeur Of The Seas,"2,393",2023-11-01,2023-11-01 08:00:00,2023-11-01 18:00:00
ms Europa,408,2023-11-02,2023-11-02 09:00:00,2023-11-02 18:00:00
Carnival Vista,"4,716",2023-11-07,2023-11-07 08:00:00,2023-11-07 17:00:00
Carnival Glory,"3,581",2023-11-09,2023-11-09 08:00:00,2023-11-09 17:00:00
Carnival Dream,"4,533",2023-11-15,2023-11-15 08:00:00,2023-11-15 17:00:00
Carnival Magic,"4,428",2023-11-15,2023-11-15 08:00:00,2023-11-15 17:00:00
Carnival Pride,"2,549",2023-11-16,2023-11-16 08:00:00,2023-11-16 17:00:00
AIDAdiva,"2,500",2023-11-16,2023-11-16 10:30:00,2023-11-16 19:00:00
Mein Schiff 6,"2,700",2023-11-17,2023-11-17 08:00:00,2023-11-17 19:00:00
Carnival Spirit,"2,549",2023-11-22,2023-11-22 08:00:00,2023-11-22 17:00:00
Carnival Pride,"2,549",2023-11-23,2023-11-23 08:00:00,2023-11-23 17:00:00
Seabourn Quest,540,2023-11-24,2023-11-24 10:00:00,2023-11-24 17:00:00
Celebrity Apex,"3,373",2023-11-28,2023-11-28 07:00:00,2023-11-28 16:30:00
Carnival Spirit,"2,549",2023-11-29,2023-11-29 08:00:00,2023-11-29 17:00:00
Carnival Pride,"2,549",2023-11-30,2023-11-30 08:00:00,2023-11-30 17:00:00
Mein Schiff 6,"2,700",2023-12-01,2023-12-01 08:00:00,2023-12-01 19:00:00
Viking Sky,930,2023-12-04,2023-12-04 00:00:00,2023-12-04 00:00:00
Brilliance Of The Seas,"2,580",2023-12-06,2023-12-06 07:00:00,2023-12-06 16:00:00
Carnival Pride,"2,549",2023-12-06,2023-12-06 08:00:00,2023-12-06 17:00:00
Seabourn Quest,540,2023-12-08,2023-12-08 10:00:00,2023-12-08 17:00:00
Celebrity Apex,"3,373",2023-12-12,2023-12-12 07:00:00,2023-12-12 16:30:00
Brilliance Of The Seas,"2,580",2023-12-12,2023-12-12 08:00:00,2023-12-12 17:00:00
